artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
"0,406",La bataille de Senlis (1589),135202,https://agorha.inha.fr/inhaprod/ark:/54721/003135202,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0216/FR75_0002_MUS_135202_1058_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),bronze,17e siècle,"0,758",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,doré,
"1,05","Soubassement du monument du coeur du roi Henri II (Saint-Germain-en-Laye, 1519-Paris, 1559)",135249,https://agorha.inha.fr/inhaprod/ark:/54721/003135249,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0229/FR75_0002_MUS_135249_1071_low.jpg,tombeau du coeur/élément/socle d'architecture,Département des sculptures du musée du Louvre (Paris),marbre,1562 - 1566,"1,01",Florentin - Dominique - sculpteur - Vers 1506 - Vers 1565 - Vers 1506 - Vers 1565 - Ricoveri - Domenico,taillé,
"2,19","Antoine-Louis-Charles, comte de Lassale, général de division (1775-1809)",135167,https://agorha.inha.fr/inhaprod/ark:/54721/003135167,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0020/FR78_0001_MUS_135167_0120_low.jpg,statue,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,Vers 1812,"0,87",Taunay - Auguste-Marie - sculpteur/architecte - 1767 - 1823 - 1767 - 1823 - Actif à Paris au XVIIIe siècle et au Brésil à partir de 1816 - Taunay - Charles Auguste,,
"0,54","Guillaume Froelich (Zürich, 1492-Paris, 1562), dit aussi le César soleurois, colonel général des Suisses",135217,https://agorha.inha.fr/inhaprod/ark:/54721/003135217,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0161/FR75_0016_MUS_135217_0156_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,16e siècle,"0,59",Bontemps - Pierre - sculpteur/décorateur - Vers 1505 - Vers 1570 - Vers 1505 - Vers 1570,taillé,attribué à
"0,9","Louis XIII (Fontainebleau, 1601-Saint-Germain-en-Laye, 1643), roi de France",135219,https://agorha.inha.fr/inhaprod/ark:/54721/003135219,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0031/FR75_0002_MUS_135219_0951_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,Avant 1654,"0,6",Bordoni - Francesco - sculpteur - 1580 - 1654 - 1580 - 1654 - Bordoni - Francesco di Bartolomeo,taillé,
"0,21","Henri II, roi de France (Saint-Germain-en-Laye, 1519-Paris, 1559)",135339,https://agorha.inha.fr/inhaprod/ark:/54721/003135339,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0003/FR75_0002_MUS_135339_1095_low.jpg,gisant/fragment/masque,Département des sculptures du musée du Louvre (Paris),terre cuite,Vers 1565,"0,162",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,modelé,attribué à
"1,81",Amphitrite,135234,https://agorha.inha.fr/inhaprod/ark:/54721/003135234,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0169/FR75_0016_MUS_135234_0229_low.jpg,groupe relié,Département des sculptures du musée du Louvre (Paris),marbre,1703 - 1705,"1,52",Coysevox - Antoine - sculpteur - 29 septembre 1640 - 10 octobre 1720 - 29 septembre 1640 - 10 octobre 1720 - Coyzevox - Antoine,taillé,
,Rivière qui féconde la terre et provoque la végétation,,,,,,,,,,,
,Néréide,,,,,,,,,,,
"1,04","Epitaphe de Jeanne Baube (+ 1405) et de ses filles Jeanne de Dormans, dame de Paillat (+ 1407 ?) et Yde de Dormans, dame de Saint-Venant (+ 1379)",135621,https://agorha.inha.fr/inhaprod/ark:/54721/003135621,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0070/FR75_0016_MUS_135621_0123_low.jpg,plaque funéraire/inscription,Département des sculptures du musée du Louvre (Paris),calcaire,4e quart du 14e siècle,"1,4","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"0,4",Couronne de fleurs et de fruits,135197,https://agorha.inha.fr/inhaprod/ark:/54721/003135197,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0211/FR75_0002_MUS_135197_1053_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,62",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"1,55",Captif enchaîné (dans la force de l'âge),135253,https://agorha.inha.fr/inhaprod/ark:/54721/003135253,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0176/FR75_0016_MUS_135253_0267_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bronze,1614 - 1618,"0,77",Franqueville - Pierre - sculpteur - 1548 - 1615 - 1548 - 1615 - Francavilla - Pietro,,
"1,55",Captif enchaîné (âgé),135255,https://agorha.inha.fr/inhaprod/ark:/54721/003135255,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0041/FR75_0002_MUS_135255_0961_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bronze,1614 - 1618,"0,66",Franqueville - Pierre - sculpteur - 1548 - 1615 - 1548 - 1615 - Francavilla - Pietro,,
"0,35",Sablier ailé et deux torches renversées,135201,https://agorha.inha.fr/inhaprod/ark:/54721/003135201,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0215/FR75_0002_MUS_135201_1057_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"1,08",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"0,59","Joseph-François Haydn, musicien (1732-1809)",135134,https://agorha.inha.fr/inhaprod/ark:/54721/003135134,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0162/FR78_0001_MUS_135134_0173_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1812,"0,5",Flatters - Jean-Jacques - sculpteur - 1784 - 1845 - 1784 - 1845,teinté,
"0,44","Jean Le Rond, dit d'Alembert, écrivain et mathématicien (1717-1783)",135136,https://agorha.inha.fr/inhaprod/ark:/54721/003135136,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0139/FR78_0001_MUS_135136_0150_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Après le 11 septembre 1798 (25 Fructidor An 6),"0,44",Francin - Guillaume - sculpteur - 1741 - 1830 - 1741 - 1830,taillé,
"0,52","Nicolas Le Jay (1573-1640), président de la Grande chambre du Parlement (1613-1630), premier président au Parlement (1630-1636), garde des Sceaux (1636-1640)",135214,https://agorha.inha.fr/inhaprod/ark:/54721/003135214,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0218/FR75_0002_MUS_135214_1060_low.jpg,buste/priant,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre,Après octobre 1636,"0,45",Biard - Pierre - sculpteur - 1592 - 1661 - 1592 - 1661 - II - Biard - le jeune - Pierre,taillé,attribué à
"0,78",La prière de Nostre Seigneur au jardin d'Olivet,135333,https://agorha.inha.fr/inhaprod/ark:/54721/003135333,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0011/elem_0004/FR75_0016_MUS_135333_0086_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),albâtre,1582 - 1584,"0,6",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"90,5","Jules Romain (1499-1546), peintre",135858,https://agorha.inha.fr/inhaprod/ark:/54721/003135858,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0231/FR75_0043_ADM_135858_0055_low.jpg,buste,Ecole nationale supérieure des beaux-arts (Paris),plâtre,,59,Blaise - Barthélémy - sculpteur - 25 janvier 1737 - 2 avril 1819 - 25 janvier 1737 - 2 avril 1819,patiné,
"1,47","Marie Bouhier de Beaumarchais (+ Paris, 1663)",135270,https://agorha.inha.fr/inhaprod/ark:/54721/003135270,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0180/FR75_0016_MUS_135269_0248_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1658 - 1663,"0,82",Guérin - Gilles - sculpteur - Vers 1606 - 26 février 1678 - Vers 1606 - 26 février 1678,taillé,
"0,25","Trophée funéraire, orné d'un bénitier, d'un goupillon et d'outils de fossoyeurs",135327,https://agorha.inha.fr/inhaprod/ark:/54721/003135327,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0192/FR75_0016_MUS_135327_0013_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,1573 - 1574,"0,39",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"0,35",Lion héraldique,135469,https://agorha.inha.fr/inhaprod/ark:/54721/003135469,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0076/FR75_0002_MUS_135469_1039_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),albâtre,Vers 1565,"0,515","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,37",Licorne tenant les armoiries de Renée d'Orléans Longueville,135502,https://agorha.inha.fr/inhaprod/ark:/54721/003135502,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0156/FR75_0016_MUS_135502_0058_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),albâtre,1er quart du 16e siècle,"0,51","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,19",Bandeau horizontal (fragment d'un bandeau horizontal en deux parties),135409,https://agorha.inha.fr/inhaprod/ark:/54721/003135409,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0137/FR75_0016_MUS_135409_0043_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"1,94","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"1,05",Masque feuillu,135600,https://agorha.inha.fr/inhaprod/ark:/54721/003135600,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0152/FR75_0016_MUS_135600_0152_low.jpg,tympan,Département des sculptures du musée du Louvre (Paris),calcaire,4e quart du 13e siècle,2,"Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
,Masque de feuilles,,,,,,,,,,,
,Tête de feuilles,,,,,,,,,,,
"1,32","Louis Potier, marquis de Gesvres, maréchal des camps, et armées du roi (Vers 1610-1643) agenouillé et orant",135153,https://agorha.inha.fr/inhaprod/ark:/54721/003135153,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0248/elem_0186/FR75_0037_REL_135096_0010_low.jpg,statue/priant,Eglise Saint-Gervais-Saint-Protais (Paris),marbre,Vers 1661,,Le Hongre - Étienne - sculpteur - 1628 - 1690 - 1628 - 1690 - Lehongre - Étienne,taillé,
"1,29",Le fleuve Nil,135157,https://agorha.inha.fr/inhaprod/ark:/54721/003135157,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0184/FR78_0001_MUS_135157_0195_low.jpg,bas-relief,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1803,"0,37",Moitte - Jean-Guillaume - sculpteur - 1746 - 1810 - 1746 - 1810,,
"0,32","L'Histoire écrivant le titre des oeuvres de Jacques-Auguste de Thou, entourée des génies de l'Etude et de la Justice",135207,https://agorha.inha.fr/inhaprod/ark:/54721/003135207,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0028/FR75_0002_MUS_135207_0948_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),bronze,Avant 1647,"1,33",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,,
"0,68","Maurice, comte de Saxe, maréchal de France (1696-1750)",135158,https://agorha.inha.fr/inhaprod/ark:/54721/003135158,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0017/FR78_0001_MUS_135158_0117_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1778 - 1779,"0,59",Mouchy - Louis-Philippe - sculpteur - 1734 - 1801 - 1734 - 1801 - Mouchy - Louis Philippe,taillé,
"0,6","Marie-Gabrielle de Palerne de Savy, née Le Subtil de Boisemont (+ 1779)",135161,https://agorha.inha.fr/inhaprod/ark:/54721/003135161,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0248/elem_0192/FR75_0037_REL_135161_0014_low.jpg,sculpture/médaillon,Eglise Saint-Gervais-Saint-Protais (Paris),marbre,1782,"0,46",Pajou - Augustin - sculpteur - 19 septembre 1730 - 8 mai 1809 - 19 septembre 1730 - 8 mai 1809,taillé,
"1,76",L'Air,135213,https://agorha.inha.fr/inhaprod/ark:/54721/003135213,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0160/FR75_0016_MUS_135213_0218_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1706 - 1709,"0,49",Bertrand - Philippe - sculpteur - 1663 - 1724 - 1663 - 1724,taillé,
"0,75","Louis-Hercule-Timoléon de Cossé, duc de Brissac, maréchal des camps et armées du Roi, grand-panetier de France, gouverneur de Paris (1734-1792)",135165,https://agorha.inha.fr/inhaprod/ark:/54721/003135165,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0177/FR78_0001_MUS_135165_0188_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1784,"0,67",Roëttiers de La Tour - Jacques-Nicolas - sculpteur/orfèvre - 1736 - 1786 - 1736 - 1786 - Actif à Paris au XVIIIe siècle - Roëttier de La Tour - Jacques-Nicolas,taillé,
"0,16",Inscription (cartouche sous MR 1682),135354,https://agorha.inha.fr/inhaprod/ark:/54721/003135354,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0211/FR75_0016_MUS_135354_0102_low.jpg,inscription,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre noir,1571 - 1578,"0,538",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,37","Jeanne, fille de Philippe de Commynes, épouse de René de Brosse, dit de Bretagne, comte de Penthièvre (+ en 1514)",135473,https://agorha.inha.fr/inhaprod/ark:/54721/003135473,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0036/FR75_0002_MUS_135473_1128_low.jpg,gisant,Département des sculptures du musée du Louvre (Paris),albâtre,1er quart du 16e siècle,"1,8","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"1,13",Saint Grégoire,135476,https://agorha.inha.fr/inhaprod/ark:/54721/003135476,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0040/FR75_0002_MUS_135476_1132_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"0,61","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,57","Dominique de Vic, vice-amiral de France (1551-1610)",135133,https://agorha.inha.fr/inhaprod/ark:/54721/003135133,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0165/FR78_0001_MUS_135133_0176_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1807,"0,56",Dupré - Guillaume - sculpteur/médailleur - 1576 - 1643 - 1576 - 1643,,d'après
"0,7","Christoph-Willibald, chevalier von Gluck, musicien (1714-1787)",135138,https://agorha.inha.fr/inhaprod/ark:/54721/003135138,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0180/FR78_0001_MUS_135138_0191_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Après 1798,"0,56",Francin - Guillaume - sculpteur - 1741 - 1830 - 1741 - 1830,taillé,
"0,675","Nicolas Mesnager, ambassadeur plénipotentiaire (1665-1714)",135155,https://agorha.inha.fr/inhaprod/ark:/54721/003135155,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0182/FR78_0001_MUS_135155_0193_low.jpg,sculpture/médaillon,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Vers 1715,"0,52",Mazière - Simon - sculpteur - 1648 - Vers 1720 - 1648 - Vers 1720,taillé,
"0,645","Soldat romain, gardien du tombeau",135320,https://agorha.inha.fr/inhaprod/ark:/54721/003135320,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0245/FR75_0002_MUS_135320_1087_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,Avant 1572,"1,46",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"1,37",L'Amour conjugal,135318,https://agorha.inha.fr/inhaprod/ark:/54721/003135318,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0211/FR75_0016_MUS_135318_0276_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),marbre,1781,"0,43",Pajou - Augustin - sculpteur - 19 septembre 1730 - 8 mai 1809 - 19 septembre 1730 - 8 mai 1809,taillé,attribué à
,Génie funéraire,,,,,,,,,,,
"2,15",Christ ressuscitant,135322,https://agorha.inha.fr/inhaprod/ark:/54721/003135322,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0203/FR75_0016_MUS_135322_0266_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,Avant 1572,"1,885",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"0,73",Le Christ et la Samaritaine,135344,https://agorha.inha.fr/inhaprod/ark:/54721/003135344,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0208/FR75_0016_MUS_135344_0215_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,Vers 1588,"0,66",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,attribué à
"0,77","Henri II (Saint-Germain-en-Laye, 1519-Paris, 1559), roi de France",135347,https://agorha.inha.fr/inhaprod/ark:/54721/003135347,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0006/FR75_0002_MUS_135347_1098_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),albâtre/marbre noir,16e siècle,"0,625",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,atelier de
"0,23",Chérubin,135460,https://agorha.inha.fr/inhaprod/ark:/54721/003135460,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0021/FR75_0002_MUS_135460_1113_low.jpg,relief/fragment/tête,Département des sculptures du musée du Louvre (Paris),albâtre,4e quart du 16e siècle,"0,132","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,33",Valentine Balbiani morte,135323,https://agorha.inha.fr/inhaprod/ark:/54721/003135323,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0247/FR75_0002_MUS_135323_1089_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1573 - 1574,"1,62",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
,Annothomie,,,,,,,,,,,
"0,63","Louis-René-Madeleine Le Vassor, comte de La Touche-Tréville, amiral (1745-1804)",135164,https://agorha.inha.fr/inhaprod/ark:/54721/003135164,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0019/FR78_0001_MUS_135164_0119_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),terre cuite,18e siècle - 19e siècle,"0,58",Renaud - Alexandre - sculpteur - 1756 - 1ère moitié du 19e siècle - 1756 - 1ère moitié du 19e siècle - Actif à Marseille au XVIIIe siècle - Renaud - Charles-Alexandre,modelé,
"0,83",Valentine Balbiani accoudée,135324,https://agorha.inha.fr/inhaprod/ark:/54721/003135324,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0204/FR75_0016_MUS_135324_0268_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1573 - 1574,"1,915",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
,"La Paix (sphère armillaire, mains unies, gerbes de blé)",135355,https://agorha.inha.fr/inhaprod/ark:/54721/003135355,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0008/FR75_0002_MUS_135355_1100_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,1571 - 1578,"0,49",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
,La Concorde,,,,,,,,,,,
"0,74","Christophe de Thou (Paris, 1508-Paris, 1582), avocat du roi au siège de la table de marbre, échevin et prévôt des marchands de Paris, premier président au Parlement de Paris (1562)",135371,https://agorha.inha.fr/inhaprod/ark:/54721/003135371,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0015/FR75_0002_MUS_135371_1107_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre blanc/marbre de couleur,Vers 1585,"0,6",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,261",Génie appuyé sur une cuirasse portant une couronne et un pennon aux armes de France,135291,https://agorha.inha.fr/inhaprod/ark:/54721/003135291,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0191/FR75_0016_MUS_135291_0244_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1597 - 1600,"0,318",Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,taillé,
"1,59",Vierge de douleur,135336,https://agorha.inha.fr/inhaprod/ark:/54721/003135336,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0205/FR75_0016_MUS_135336_0127_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),terre cuite,Vers 1586,"1,195",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,modelé,
"0,64","Gaspard II de Fieubet, conseiller d'Etat et trésorier de l'Epargne (+ 1647)",135540,https://agorha.inha.fr/inhaprod/ark:/54721/003135540,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0016/FR75_0016_MUS_135540_0163_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,1644,"0,567","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,5","Gaston de France, duc d'Orléans",135543,https://agorha.inha.fr/inhaprod/ark:/54721/003135543,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0071/FR75_0002_MUS_135543_1163_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle,"0,49","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,2",Loth et ses filles,135449,https://agorha.inha.fr/inhaprod/ark:/54721/003135449,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0181/FR75_0016_MUS_135449_0002_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),albâtre,4e quart du 16e siècle,"0,28","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,7",La Nativité,135282,https://agorha.inha.fr/inhaprod/ark:/54721/003135282,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0187/FR75_0016_MUS_135282_0226_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),pierre,1542 - 1543,"1,91",Guybert - Nicolas - sculpteur - Actif à Chartres au XVIe siècle - Guibert - Nicolas,taillé/polychrome,attribué à
"0,565",La Charité,135462,https://agorha.inha.fr/inhaprod/ark:/54721/003135462,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0246/FR75_0016_MUS_135462_0236_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),albâtre/marbre noir,2e moitié du 16e siècle,"0,295","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,43",Christ au tombeau,135459,https://agorha.inha.fr/inhaprod/ark:/54721/003135459,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0244/FR75_0016_MUS_135459_0251_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),pierre,2e quart du 16e siècle - 3e quart du 16e siècle,"2,115","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé/polychrome,
"0,27",Diane caressant un cerf,135524,https://agorha.inha.fr/inhaprod/ark:/54721/003135524,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0149/FR95_0001_MUS_135524_0037_low.jpg,bas-relief,Musée national de la Renaissance (Ecouen),marbre,16e siècle,"0,42","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
